"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.73850036180654e-36,0.404071818496764,0.289,0.197,4.36867755918367e-32,"16","Gon4l"
2.43020927137852e-36,0.414613864524887,0.261,0.174,6.10687287804709e-32,"16","Cic"
3.44313855343e-36,0.33602394139867,0.33,0.232,8.65226287091425e-32,"16","Ccdc186"
4.60294778866277e-36,0.325374313768333,0.301,0.205,1.15667474981307e-31,"16","Casp8ap2"
5.30103513904223e-36,0.37832740228463,0.3,0.208,1.33209712008992e-31,"16","Lonp2"
9.29570238989375e-36,0.357541954305261,0.308,0.214,2.3359170535564e-31,"16","Copz1"
1.22972107151276e-35,0.404797086588349,0.293,0.203,3.09016608060441e-31,"16","Ei24"
1.52485704428214e-35,0.403376246425864,0.251,0.167,3.8318132665766e-31,"16","Setd1b"
1.73375927911977e-35,0.420687060804312,0.261,0.175,4.35676369250007e-31,"16","Rab5b"
2.10565922507816e-35,0.302068552707515,0.346,0.244,5.29131106669892e-31,"16","Pink1"
2.49888988597189e-35,0.296050960982863,0.299,0.202,6.27946039445875e-31,"16","Evl"
3.12744254262206e-35,0.272160574618528,0.402,0.292,7.85895036535498e-31,"16","Setd5"
3.51940301572353e-35,0.364998238220989,0.334,0.237,8.84390783821166e-31,"16","Taf1"
4.09068879479997e-35,0.355077673014194,0.309,0.216,1.02794918724529e-30,"16","Zzz3"
4.13418512947915e-35,0.304535078778604,0.307,0.211,1.03887938118681e-30,"16","4632427E13Rik"
6.06168315012301e-35,0.284881776473982,0.353,0.252,1.52324035879441e-30,"16","Lrpap1"
7.45862915516948e-35,0.280294677205647,0.467,0.354,1.87427892040254e-30,"16","Ndufs3"
8.86032785120906e-35,0.278546940004753,0.397,0.289,2.22651178573033e-30,"16","Snapc5"
1.08947276431904e-34,0.311226552756233,0.35,0.251,2.73773610945731e-30,"16","Ebp"
1.47094466692577e-34,0.327375334398049,0.359,0.26,3.69633685351777e-30,"16","Mrpl36"
1.49513340496747e-34,0.323790207479815,0.28,0.189,3.75712073334276e-30,"16","Tle3"
2.43721787746244e-34,0.396857409894252,0.287,0.199,6.12448480427537e-30,"16","Hsd17b4"
2.55173572964467e-34,0.309437126039193,0.395,0.292,6.41225671502409e-30,"16","Ola1"
3.04016470972956e-34,0.286502018665756,0.4,0.297,7.63962989907942e-30,"16","Mrps12"
3.35764613349263e-34,0.305416853072453,0.364,0.263,8.43742896885363e-30,"16","Nudcd3"
4.00320301395178e-34,0.336404647804957,0.327,0.231,1.00596488537594e-29,"16","Impa1"
4.20109394350577e-34,0.377746577582564,0.266,0.181,1.05569289706356e-29,"16","Nop14"
4.59152418462298e-34,0.252185365176854,0.4,0.291,1.15380411235391e-29,"16","Dnttip2"
5.98309769427818e-34,0.314456489472156,0.325,0.229,1.50349261959516e-29,"16","Azi2"
6.05368229215333e-34,0.299661469478328,0.339,0.24,1.52122982319521e-29,"16","Rc3h1"
