"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","response to lipopolysaccharide","4/33","320/15262",0.0125,5.78106060606061,4.0235337153879,0.00480469571274082,0.0352435887751862,0.025393635593717,"Cd180/Eif2ak2/Stat1/Trim30a",4
"GO:0045646","regulation of erythrocyte differentiation","2/33","48/15262",0.0416666666666667,19.270202020202,5.90139976477237,0.00480594392388902,0.0352435887751862,0.025393635593717,"Isg15/Stat1",2
"GO:0045814","negative regulation of gene expression, epigenetic","3/33","161/15262",0.0186335403726708,8.61773009599097,4.52322756833651,0.0049842657444715,0.0361964153093659,0.0260801641407196,"Ifi203/Ifi209/Ifi213",3
"GO:0071478","cellular response to radiation","3/33","163/15262",0.0184049079754601,8.51199107640825,4.48835857862856,0.00515840222625678,0.0370806682520421,0.0267172841894815,"Ifi203/Ifi209/Ifi213",3
"GO:0051403","stress-activated MAPK cascade","2/33","50/15262",0.04,18.4993939393939,5.76935980507679,0.00520517401933746,0.0370806682520421,0.0267172841894815,"Arl6ip5/Eif2ak2",2
"GO:0002237","response to molecule of bacterial origin","4/33","337/15262",0.0118694362017804,5.48943440338099,3.87937875975923,0.00576523821355734,0.0406830017334046,0.0293128298445021,"Cd180/Eif2ak2/Stat1/Trim30a",4
"GO:0031098","stress-activated protein kinase signaling cascade","2/33","56/15262",0.0357142857142857,16.517316017316,5.41521741847958,0.00649098100615985,0.0453762036692296,0.0326943657172045,"Arl6ip5/Eif2ak2",2
"GO:0000768","syncytium formation by plasma membrane fusion","2/33","58/15262",0.0344827586206897,15.9477533960293,5.30913493632692,0.00694853435167289,0.0476835201380855,0.0343568284698843,"Plekho1/Stat1",2
"GO:0140253","cell-cell fusion","2/33","58/15262",0.0344827586206897,15.9477533960293,5.30913493632692,0.00694853435167289,0.0476835201380855,0.0343568284698843,"Plekho1/Stat1",2
"GO:0048524","positive regulation of viral process","2/33","59/15262",0.0338983050847458,15.6774524910118,5.25805124156402,0.00718266884805963,0.0488421481668055,0.0351916406718328,"Stom/Trim30a",2
