"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Obp1a",0.00460345753597536,3.72629666099297,0.7,0.9,1
"Dnajb9",0.00468668911226753,-0.408512955413262,0.9,0.9,1
"Terf1",0.00471102031539217,0.538961825243421,0.9,0.9,1
"Stmn4",0.00471506519345333,0.607936548421275,0.6,0.2,1
"Gins2",0.00472063284165693,0.612630116880583,0.8,0.9,1
"Gm42726",0.00475582979672109,0.469355296175904,0.8,0.5,1
"Utp11",0.00476560200236705,0.5840295695965,1,0.9,1
"Nudcd3",0.00479769743146427,0.573887116691172,1,0.9,1
"Cds1",0.00488090479505159,0.752846765777123,1,0.9,1
"Wbp1l",0.00490912167524598,0.651579743405286,0.9,0.9,1
"Tep1",0.00492242612063802,-0.249053369980052,1,1,1
"Rnf114",0.00492692165054788,0.711699297803851,1,0.9,1
"Pcgf5",0.00493379821420132,0.573192850454886,0.9,0.9,1
"Tst",0.00494693586069061,0.707211999255323,0.6,0.3,1
"Trim12c",0.00496977150144646,0.485240847561569,1,0.9,1
"Psmd1",0.00500789086410936,0.648942697623855,1,0.9,1
"Grk2",0.00501811784890794,0.439905800353328,1,0.9,1
"Pcnt",0.00508483788077528,0.579960446442258,1,0.9,1
"Frs2",0.0051114342999163,0.4728219547267,0.9,0.9,1
"Twist1",0.00513759324409197,0.765508554518392,0.8,0.3,1
"Mrm3",0.00514001308012545,0.764157907475391,1,0.7,1
"Isg20",0.00515294988501227,0.427567381909813,0.9,0.9,1
"Rufy3",0.00516376940327581,0.528161648392809,0.9,0.9,1
"Cnga4",0.0051694980444813,0.564566559284966,0.6,0,1
"Ecsit",0.00542528908408066,0.635939213870695,1,0.9,1
"Nsd2",0.00544338185985062,0.56321207879241,1,0.9,1
"Cd48",0.00547504247944408,-0.119112790390811,1,0.9,1
"Phf6",0.00551273473651497,0.91847525595115,1,0.9,1
"Aarsd1",0.00553101421632481,0.482951373099015,0.9,0.9,1
"Rae1",0.00559038249020267,0.561372880917556,1,0.9,1
"Cyp1a2",0.00560522271009866,0.576620743561035,0.6,0.2,1
"Phkb",0.00577922241049584,0.575574553783516,0.9,0.9,1
"Cdk10",0.00581030690518169,0.544166305778494,0.9,0.9,1
"Ssrp1",0.00582989575655679,-0.452969523931868,1,1,1
"Chga",0.00584183048362704,1.24527225254745,1,0.9,1
"Uchl1",0.00584798480313276,0.852383535620101,0.9,0.3,1
"Btg2",0.00585534952233026,-0.386899361093731,1,1,1
"Nf2",0.00595997682020846,0.654345364323286,1,0.9,1
"Phf23",0.00599123021879731,0.908132770578754,1,0.9,1
"Ankrd17",0.00610300339227694,-0.24819886234827,1,1,1
"Trp53i11",0.00612695636520009,0.608237946198438,1,0.9,1
"Mak16",0.00616489239674625,0.428379693791403,0.9,0.9,1
"Ebf1",0.00618242741206331,1.20904373248045,1,0.9,1
"Piga",0.00618378727994207,0.881270624699363,1,0.8,1
"Faim2",0.00622677916543715,0.567656216891913,0.7,0.1,1
"Arhgef7",0.00628240452306164,0.611651165175967,0.9,0.9,1
"Mslnl",0.00638664903872761,0.529774399073603,0.6,0,1
"Magoh",0.00645849006968163,-0.390618923266438,0.9,0.9,1
"Fndc3a",0.00656222429304476,0.402330292606015,1,0.9,1
"Sec31a",0.00658753796021298,0.425299683404007,0.9,0.9,1
"Mbd3",0.00658831049624682,0.473302371354099,1,0.9,1
"Mthfd2",0.00659413906039931,0.518456316233769,0.9,0.9,1
"Bbs7",0.00662963825058548,0.455731594695082,0.8,0.7,1
"Rest",0.00673573528717036,-0.523942098390602,0.9,1,1
"Trim30c",0.00678001365644495,0.616829388680488,0.9,0.9,1
"Nme2",0.00678258074614503,0.469422573010836,1,0.9,1
"Mlec",0.00682959108269659,0.522448343042316,1,0.9,1
"Nfatc2",0.0069113170539918,0.517286339339145,0.9,0.9,1
"Nus1",0.00700866887029922,0.54326795457477,1,0.9,1
"Zup1",0.00707309821747992,0.466819176511178,1,0.9,1
"Mical2",0.00709110405747216,0.552419008673332,0.9,0.8,1
"Smarca4",0.00710810586021978,-0.523575633706017,0.9,1,1
"Rab3a",0.00713575605506697,0.956646362172341,1,0.6,1
"Pparg",0.00715067873095919,0.599370694350149,0.9,0.9,1
"Tab1",0.00715682226286394,0.487007861316233,0.9,0.9,1
"Tbrg4",0.00718204137267555,0.693300267193075,0.9,0.8,1
"Rfx3",0.00719265586290774,0.581590618622359,0.9,0.6,1
"Pmf1",0.00719328696734446,0.573334121208265,0.9,0.9,1
"Sharpin",0.00719332169590945,0.652790578268613,1,0.9,1
"Srsf7",0.00719996109382434,-0.179095725783831,1,0.9,1
"Hspa1b",0.0072151562580974,-1.86922660865294,0.9,1,1
"Tbk1",0.00723378812514994,0.526539598735744,0.9,0.9,1
"Cntn4",0.00723482411457806,0.622393760564645,0.6,0.1,1
"Spef1",0.00724573612891126,0.424026842061958,0.8,0.2,1
"Bnip1",0.00728420039810955,0.61407218986851,0.9,0.8,1
"Entpd7",0.0072864678760991,0.763214087671855,1,0.9,1
"Trim21",0.0073294517739956,0.452345477189238,0.9,0.9,1
"Bcl11b",0.00751538175838919,0.606692617875404,0.6,0.3,1
"Glrx",0.0075543470455901,0.587915210152318,1,0.9,1
"Morc3",0.00756605238489453,0.517969993658611,1,0.9,1
"Batf2",0.0075756619146461,0.606063506616178,0.9,0.7,1
